id,gender,masterCategory,subCategory,baseColour,usage,productDisplayName,price,sale_price,discount_rate,S_stock,M_stock,L_stock,XL_stock,season
e1.jpg,Adult Male,Apparel,Bottomwear,Indigo Blue,Casual,Classic Dark Wash Denim Jeans,1.200TL,960TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e2.jpg,Adult Male,Apparel,Bottomwear,Olive Green,Casual,Slim Fit Chino Pants,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e3.jpg,Adult Male,Apparel,Bottomwear,Light Grey,Casual,Corduroy Regular Fit Trousers,1.100TL,880TL,20%,Low Stock,In Stock,In Stock,In Stock,Autumn/Winter
e4.jpg,Adult Male,Apparel,Bottomwear,Navy Blue,Casual,Smart Casual Jogger Pants,850TL,680TL,20%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
e5.jpg,Adult Male,Apparel,Topwear,Blue-White,Casual,Gingham Checkered Button-Down Shirt,750TL,600TL,20%,In Stock,Low Stock,In Stock,Out of Stock,Spring/Summer
e6.jpg,Adult Male,Apparel,Topwear,Black-Grey,Casual,Flannel Plaid Long Sleeve Shirt,800TL,800TL,0%,In Stock,In Stock,Low Stock,In Stock,Autumn/Winter
e7.jpg,Adult Male,Apparel,Topwear,Heather Grey,Casual,Basic Crew Neck Cotton T-Shirt,400TL,320TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e8.jpg,Adult Male,Apparel,Outerwear,Tan Brown,Casual,Field Jacket with Utility Pockets,1.800TL,1.440TL,20%,Low Stock,In Stock,In Stock,In Stock,Autumn/Winter
e9.jpg,Adult Male,Apparel,Outerwear,Navy Blue,Casual,Quilted Bomber Zip-Up Jacket,1.650TL,1.320TL,20%,In Stock,Out of Stock,In Stock,Low Stock,Autumn/Winter
e10.jpg,Adult Male,Apparel,Topwear,Multi-Color,Casual,"Men's Color-Block Crew Neck T-Shirt (Navy, Green, Rust)",450TL,360TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
e11.jpg,Adult Male,Apparel,Topwear,White,Formal/Casual,Classic White Fine Oxford Dress Shirt,1.100TL,880TL,20%,In Stock,In Stock,In Stock,Out of Stock,4 Seasons
e12.jpg,Adult Male,Apparel,Bottomwear,Navy Blue,Formal/Casual,Slim-Fit Textured Navy Wool Trousers,1.900TL,1.520TL,20%,Low Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e13.jpg,Adult Male,Apparel,Outerwear,Charcoal Grey,Formal/Casual,Single-Breasted Textured Charcoal Blazer,3.500TL,2.800TL,20%,In Stock,Low Stock,In Stock,Out of Stock,Autumn/Winter
e14.jpg,Adult Male,Apparel,Topwear,Heather Grey,Casual,Heather Grey Cotton-Piqué Polo Shirt,750TL,600TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e15.jpg,Adult Male,Apparel,Bottomwear,Tan Brown,Casual,Straight-Leg Tan Brown Chino Pants,1.250TL,1.000TL,20%,In Stock,Low Stock,In Stock,Low Stock,4 Seasons
e16.jpg,Adult Male,Apparel,Topwear,Navy Blue,Casual,Navy Blue Fine-Knit Long-Sleeve Shirt,900TL,720TL,20%,In Stock,In Stock,In Stock,In Stock,4 Seasons
e17.jpg,Adult Male,Apparel,Bottomwear,Olive Green,Casual,Dark Olive Green Tapered Corduroy Trousers,1.600TL,1.280TL,20%,Low Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e18.jpg,Adult Male,Apparel,Topwear,Light Blue Multi,Casual,Light Blue Gingham Checkered Casual Shirt,1.200TL,960TL,20%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e19.jpg,Adult Male,Apparel,Outerwear,Camel Brown,Formal/Casual,Classic Camel Brown Stand-Collar Overcoat,4.500TL,3.600TL,20%,In Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e20.jpg,Adult Male,Apparel,Bottomwear,Light Grey,Casual,Light Grey Textured Wool Tweed Trousers,2.100TL,1.680TL,20%,Low Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e21.jpg,Adult Male,Apparel,Topwear,Ecru/Off-White,Casual,Men's Long Sleeve Button-Down Shirt,1.100TL,880TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
e22.jpg,Adult Male,Apparel,Bottomwear,Olive Green,Casual,Men's Belted Tech Chino Pants,1.950TL,1.950TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e23.jpg,Adult Male,Apparel,Outerwear,Black,Casual,Men's Lightweight Field Jacket with Pockets,3.200TL,2.560TL,20%,In Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e24.jpg,Adult Male,Apparel,Topwear,Charcoal Grey,Casual,Men's Basic Crew Neck Cotton T-Shirt,650TL,520TL,20%,In Stock,In Stock,In Stock,In Stock,4 Seasons
e25.jpg,Adult Male,Apparel,Bottomwear,Dark Green,Casual/Formal,Men's Premium Flat Front Trousers,2.300TL,1.840TL,20%,Out of Stock,Low Stock,In Stock,In Stock,Autumn/Winter
e26.jpg,Adult Male,Apparel,Topwear,Dark Charcoal Multi,Casual,Men's Patterned Cotton Flannel Shirt,1.250TL,1.000TL,20%,In Stock,In Stock,Low Stock,In Stock,Autumn/Winter
e27.jpg,Adult Male,Apparel,Bottomwear,Indigo Blue,Casual,Men's Garment Dyed Stretch Chino Pants,1.700TL,1.700TL,0%,In Stock,In Stock,In Stock,In Stock,4 Seasons
e28.jpg,Adult Male,Apparel,Bottomwear,Tan/Beige,Casual,Men's Flat Front Cotton Canvas Pants,1.650TL,1.320TL,20%,Low Stock,In Stock,In Stock,In Stock,Autumn/Winter
e29.jpg,Adult Male,Apparel,Outerwear,Maroon/Burgundy,Casual,Men's Full Zip Minimalist Bomber Jacket,2.900TL,2.320TL,20%,Low Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e30.jpg,Adult Male,Apparel,Topwear,Navy Blue,Casual,Men's Basic V-Neck Cotton T-Shirt,650TL,520TL,20%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e31.jpg,Adult Male,Apparel,Topwear,Light Grey,Sportive,Men's Crew Neck Fleece Sweatshirt,1.150TL,920TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Autumn/Winter
e32.jpg,Adult Male,Apparel,Bottomwear,Black,Sportive,Men's Slim Fit Cotton Jogger Sweatpants,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e33.jpg,Adult Male,Apparel,Outerwear,Black,Sportive,Men's Full-Zip Lightweight Track Jacket,2.100TL,1.680TL,20%,In Stock,Low Stock,Low Stock,Out of Stock,4 Seasons
e34.jpg,Adult Male,Apparel,Topwear,Indigo Blue,Sportive,Men's Performance Graphic Training T-Shirt,700TL,560TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e35.jpg,Adult Male,Apparel,Bottomwear,Navy Blue,Sportive,Men's Athletic Track Pants with Side Stripe,1.200TL,960TL,20%,Out of Stock,Low Stock,In Stock,In Stock,4 Seasons
e36.jpg,Adult Male,Apparel,Topwear,White,Sportive,Men's Breathable Mesh Training Tank Top,550TL,440TL,20%,In Stock,In Stock,Low Stock,In Stock,Spring/Summer
e37.jpg,Adult Male,Apparel,Bottomwear,Burgundy,Sportive,Men's Cuffed Fleece Jogger Pants,950TL,760TL,20%,In Stock,In Stock,In Stock,In Stock,Autumn/Winter
e38.jpg,Adult Male,Apparel,Topwear,Teal Blue,Sportive,Men's Full-Zip Hooded Sweatshirt,1.450TL,1.160TL,20%,Low Stock,In Stock,In Stock,In Stock,Autumn/Winter
e39.jpg,Adult Male,Apparel,Outerwear,Maroon,Sportive,Men's Windbreaker Zip-Up Sports Jacket,2.400TL,1.920TL,20%,Low Stock,Low Stock,Low Stock,Out of Stock,4 Seasons
e40.jpg,Adult Male,Apparel,Bottomwear,Heather Grey,Sportive,Men's Loose Fit Jersey Sports Shorts,650TL,520TL,20%,In Stock,In Stock,In Stock,Low Stock,Spring/Summer
e41.jpg,Adult Male,Apparel,Outerwear,Brown,Chic,Premium Brown Suede Leather Jacket,4.800TL,3.840TL,20%,Low Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e42.jpg,Adult Male,Apparel,Topwear,Burgundy,Chic,Fine-Gauge Merino Knit Polo Shirt,1.500TL,1.200TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Autumn/Winter
e43.jpg,Adult Male,Apparel,Topwear,Charcoal Grey,Chic,Premium Pima Cotton V-Neck T-Shirt,650TL,520TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e44.jpg,Adult Male,Apparel,Bottomwear,Navy Blue,Chic,Tailored Wool Blend Dress Trousers,1.850TL,1.480TL,20%,In Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e45.jpg,Adult Male,Apparel,Bottomwear,Grey,Chic,Prince of Wales Check Patterned Trousers,1.950TL,1.950TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e46.jpg,Adult Male,Apparel,Topwear,Light Blue-White,Chic,Non-Iron Gingham Check Dress Shirt,1.350TL,1.080TL,20%,In Stock,In Stock,Low Stock,In Stock,4 Seasons
e47.jpg,Adult Male,Apparel,Topwear,White,Chic,High-Quality Pima Cotton Crew-Neck T-Shirt,650TL,520TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e48.jpg,Adult Male,Apparel,Bottomwear,Tan Brown,Chic,Premium Cotton Satin Chino Trousers,1.450TL,1.160TL,20%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e49.jpg,Adult Male,Apparel,Bottomwear,Dark Charcoal,Chic,Textured Wool-Tweed Regular Fit Trousers,1.700TL,1.360TL,20%,In Stock,Low Stock,In Stock,Low Stock,Autumn/Winter
e50.jpg,Adult Male,Apparel,Outerwear,Navy Blue,Chic,Classic Italian Navy Blue Hopsack Blazer,3.500TL,2.800TL,20%,In Stock,Low Stock,In Stock,Low Stock,Autumn/Winter
e51.jpg,Adult Male,Apparel,Topwear,Brown Multi,Vintage,Men's Plaid Flannel Button-Down Shirt,1.250TL,1.000TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Autumn/Winter
e52.jpg,Adult Male,Apparel,Bottomwear,Dark Blue,Vintage,Men's Vintage Wash Denim Jeans,2.100TL,2.100TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e53.jpg,Adult Male,Apparel,Outerwear,Olive Green,Vintage,Men's Army Style M-65 Field Jacket,3.500TL,2.800TL,20%,In Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e54.jpg,Adult Male,Apparel,Topwear,Charcoal Grey,Vintage,Men's 'Vintage Dept.' Graphic T-Shirt,750TL,600TL,20%,In Stock,In Stock,In Stock,In Stock,4 Seasons
e55.jpg,Adult Male,Apparel,Bottomwear,Ecru/Tan,Vintage,Men's Pleated Linen Trousers,1.800TL,1.440TL,20%,Out of Stock,Low Stock,In Stock,In Stock,Spring/Summer
e56.jpg,Adult Male,Apparel,Topwear,Off-White Multi,Vintage,Men's Floral/Patterned Button-Up Shirt,1.300TL,1.040TL,20%,In Stock,In Stock,Low Stock,In Stock,Spring/Summer
e57.jpg,Adult Male,Apparel,Bottomwear,Mustard Yellow,Vintage,Men's Classic Fit Chino Pants,1.600TL,1.600TL,0%,In Stock,In Stock,In Stock,In Stock,4 Seasons
e58.jpg,Adult Male,Apparel,Bottomwear,Mid Grey,Vintage,Men's Textured Flat-Front Trousers,1.750TL,1.400TL,20%,Low Stock,In Stock,In Stock,In Stock,Autumn/Winter
e59.jpg,Adult Male,Apparel,Outerwear,Brown,Vintage,Men's Classic Suede Bomber Jacket,4.800TL,3.840TL,20%,Low Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e60.jpg,Adult Male,Apparel,Topwear,Red/Blue Multi,Vintage,Men's Striped Heritage T-Shirt,750TL,600TL,20%,In Stock,In Stock,In Stock,Low Stock,Spring/Summer
e61.jpg,Young Male,Apparel,Topwear,Light Blue,Casual,Men's Light Wash Denim Button-Up Shirt,850TL,680TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e62.jpg,Young Male,Apparel,Topwear,Olive Green,Casual,Men's Corduroy Long Sleeve Shirt,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e63.jpg,Young Male,Apparel,Topwear,Black,Casual,Men's Black Graphic Crew Neck T-Shirt,450TL,360TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e64.jpg,Young Male,Apparel,Outerwear,Rust Orange,Casual,Men's Full-Zip Hoodie with Pockets,1.200TL,900TL,25%,Low Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e65.jpg,Young Male,Apparel,Outerwear,Indigo Blue,Casual,Men's Classic Dark Wash Denim Jacket,1.600TL,1.280TL,20%,In Stock,Low Stock,In Stock,In Stock,4 Seasons
e66.jpg,Young Male,Apparel,Bottomwear,Beige,Casual,Men's Slim Fit Beige Chino Trousers,890TL,890TL,0%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e67.jpg,Young Male,Apparel,Bottomwear,Blue,Casual,Men's Distressed Regular Fit Jeans,1.100TL,825TL,25%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
e68.jpg,Young Male,Apparel,Bottomwear,Dark Grey,Casual,Men's Relaxed Cargo Pants with Pockets,990TL,792TL,20%,In Stock,In Stock,In Stock,Out of Stock,4 Seasons
e69.jpg,Young Male,Apparel,Bottomwear,Emerald Green,Casual,Men's Straight Fit Green Casual Trousers,890TL,712TL,20%,Low Stock,In Stock,In Stock,Low Stock,Spring/Summer
e70.jpg,Young Male,Apparel,Topwear,Black,Casual,Men's Essential Solid Black T-Shirt,400TL,400TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e71.jpg,Young Male,Apparel,Bottomwear,Charcoal Grey,Formal/Casual,Men's Tailored Smart Casual Charcoal Trousers,1.450TL,1.160TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e72.jpg,Young Male,Apparel,Topwear,Navy Blue,Formal/Casual,Men's Fine Knit Open Collar Polo Shirt,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,Spring/Summer
e73.jpg,Young Male,Apparel,Topwear,White,Formal/Casual,Men's Premium Oxford Cotton Button-Down Shirt,1.200TL,960TL,20%,Low Stock,In Stock,In Stock,In Stock,4 Seasons
e74.jpg,Young Male,Apparel,Bottomwear,Beige,Formal/Casual,Men's Slim Fit Classic Beige Chino Trousers,1.100TL,825TL,25%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e75.jpg,Young Male,Apparel,Topwear,Navy Blue,Formal/Casual,Men's Crew Neck Fine Knit Cotton Sweater,1.350TL,1.080TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e76.jpg,Young Male,Apparel,Outerwear,Dark Brown,Formal/Casual,Men's Classic Corduroy Blazer Jacket,2.850TL,2.280TL,20%,In Stock,In Stock,In Stock,In Stock,Autumn/Winter
e77.jpg,Young Male,Apparel,Bottomwear,Indigo Blue,Formal/Casual,Men's Dark Wash Regular Fit Tailored Jeans,1.500TL,1.500TL,0%,In Stock,Low Stock,In Stock,Out of Stock,4 Seasons
e78.jpg,Young Male,Apparel,Bottomwear,Olive Green,Formal/Casual,Men's Smart Casual Pressed Crease Khaki Trousers,1.250TL,937TL,25%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e79.jpg,Young Male,Apparel,Topwear,Ecru,Formal/Casual,Men's Essential Minimalist Plain White T-Shirt,450TL,360TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
e80.jpg,Young Male,Apparel,Outerwear,Black,Formal/Casual,Men's Premium Sleek Black Leather Bomber Jacket,3.500TL,3.500TL,0%,In Stock,In Stock,In Stock,In Stock,Autumn/Winter
e81.jpg,Young Male,Apparel,Topwear,Ecru,Minimal,Men's Linen Blend Grandad Collar Shirt,950TL,760TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
e82.jpg,Young Male,Apparel,Outerwear,Navy Blue,Minimal,Men's Minimalist Cotton Overshirt Jacket,1.650TL,1.650TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e83.jpg,Young Male,Apparel,Topwear,White,Minimal,Men's Premium Crew Neck Solid White T-Shirt,420TL,420TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e84.jpg,Young Male,Apparel,Bottomwear,Beige,Minimal,Men's Slim Fit Minimalist Beige Chino Trousers,1.150TL,920TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e85.jpg,Young Male,Apparel,Outerwear,Black,Minimal,Men's Clean-Cut Matte Black Bomber Jacket,2.100TL,1.680TL,20%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e86.jpg,Young Male,Apparel,Bottomwear,Blue,Minimal,Men's Straight-Leg Light Wash Denim Jeans,1.400TL,1.050TL,25%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
e87.jpg,Young Male,Apparel,Topwear,Charcoal Grey,Minimal,Men's Knit Polo Shirt with Open Collar,890TL,712TL,20%,In Stock,Low Stock,In Stock,In Stock,Spring/Summer
e88.jpg,Young Male,Apparel,Bottomwear,Olive Green,Minimal,Men's Tailored Smart Casual Olive Trousers,1.200TL,1.200TL,0%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e89.jpg,Young Male,Apparel,Topwear,Beige,Minimal,Men's Heavyweight Boxy Fit Sand T-Shirt,480TL,360TL,25%,In Stock,In Stock,In Stock,Out of Stock,4 Seasons
e90.jpg,Young Male,Apparel,Bottomwear,Black,Minimal,Men's Slim Straight Minimalist Black Trousers,1.350TL,1.080TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e91.jpg,Young Male,Apparel,Outerwear,Multi-Color,Sportive,Men's Red and Navy Colorblock Windbreaker Jacket,1.850TL,1.480TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e92.jpg,Young Male,Apparel,Topwear,Grey,Sportive,Men's Athletic NYC Printed Grey Sweatshirt,850TL,850TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e93.jpg,Young Male,Apparel,Outerwear,Green,Sportive,Men's Black and Green Full-Zip Track Jacket,1.600TL,1.200TL,25%,Low Stock,In Stock,In Stock,Out of Stock,4 Seasons
e94.jpg,Young Male,Apparel,Bottomwear,Black,Sportive,Men's Essential Slim Fit Black Jogger Pants,950TL,760TL,20%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e95.jpg,Young Male,Apparel,Bottomwear,Navy Blue,Sportive,Men's 2-in-1 Running Shorts with Inner Liner,650TL,520TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Spring/Summer
e96.jpg,Young Male,Apparel,Topwear,Light Grey,Sportive,Men's V-Neck Breathable Performance T-Shirt,450TL,360TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e97.jpg,Young Male,Apparel,Bottomwear,Blue,Sportive,Men's Classic 3-Stripe Athletic Track Pants,1.100TL,1.100TL,0%,In Stock,Low Stock,In Stock,Out of Stock,4 Seasons
e98.jpg,Young Male,Apparel,Bottomwear,Dark Grey,Sportive,Men's Mesh Detailed Athletic Training Tights,890TL,712TL,20%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e99.jpg,Young Male,Apparel,Bottomwear,Burgundy,Sportive,Men's Fleece Drawstring Burgundy Sweatpants,950TL,712TL,25%,In Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e100.jpg,Young Male,Apparel,Topwear,Mustard Yellow,Sportive,Men's University Athletics Graphic T-Shirt,480TL,480TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e101.jpg,Young Male,Apparel,Outerwear,Navy Blue,Formal/Casual,Men's Slim Fit Navy Blue Blazer Jacket,2.450TL,1.960TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e102.jpg,Young Male,Apparel,Topwear,White,Formal/Casual,Men's Premium White Oxford Cotton Shirt,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e103.jpg,Young Male,Apparel,Topwear,Charcoal Grey,Formal/Casual,Men's Knit Polo Shirt with Open Collar,850TL,680TL,20%,Low Stock,In Stock,In Stock,In Stock,Spring/Summer
e104.jpg,Young Male,Apparel,Bottomwear,Beige,Formal/Casual,Men's Classic Fit Beige Chino Trousers,1.100TL,825TL,25%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e105.jpg,Young Male,Apparel,Outerwear,Sage Green,Formal/Casual,Men's Lightweight Utility Shirt Jacket,1.850TL,1.480TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e106.jpg,Young Male,Apparel,Topwear,Dark Grey,Formal/Casual,Men's Fine Ribbed Crew Neck T-Shirt,550TL,440TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e107.jpg,Young Male,Apparel,Bottomwear,Indigo Blue,Formal/Casual,Men's Slim Straight Dark Indigo Jeans,1.350TL,1.350TL,0%,In Stock,Low Stock,In Stock,Out of Stock,4 Seasons
e108.jpg,Young Male,Apparel,Topwear,Light Blue,Formal/Casual,Men's Breathable Light Blue Linen Shirt,1.200TL,900TL,25%,Low Stock,In Stock,In Stock,Low Stock,Spring/Summer
e109.jpg,Young Male,Apparel,Bottomwear,Black,Formal/Casual,Men's Tailored Smart Casual Black Trousers,1.150TL,920TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e110.jpg,Young Male,Apparel,Topwear,Multi-Color,Formal/Casual,Men's Striped Cotton Crew Neck T-Shirt,480TL,480TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e111.jpg,Young Male,Apparel,Outerwear,Brown,Vintage,Men's Distressed Brown Leather Jacket,3.200TL,2.560TL,20%,Low Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e112.jpg,Young Male,Apparel,Outerwear,Mustard Yellow,Vintage,Men's Retro Corduroy Bomber Jacket,1.850TL,1.480TL,20%,In Stock,In Stock,Low Stock,Low Stock,Autumn/Winter
e113.jpg,Young Male,Apparel,Topwear,Burgundy,Vintage,Men's Plaid Flannel Button-Up Shirt,850TL,850TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e114.jpg,Young Male,Apparel,Topwear,Ecru,Vintage,Men's Retro Striped Knit Shirt,950TL,760TL,20%,In Stock,Low Stock,In Stock,In Stock,Spring/Summer
e115.jpg,Young Male,Apparel,Topwear,Faded Black,Vintage,Men's 90s Rock Graphic Crew Neck T-Shirt,550TL,412TL,25%,Low Stock,In Stock,In Stock,In Stock,4 Seasons
e116.jpg,Young Male,Apparel,Bottomwear,Olive Green,Vintage,Men's Relaxed Fit Corduroy Trousers,1.250TL,1.000TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Autumn/Winter
e117.jpg,Young Male,Apparel,Bottomwear,Faded Blue,Vintage,Men's 80s High-Waisted Straight Leg Jeans,1.400TL,1.050TL,25%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
